RCP_SNO,RCP_TTL,CKG_NM,RGTR_ID,RGTR_NM,INQ_CNT,RCMM_CNT,SRAP_CNT,CKG_MTH_ACTO_NM,CKG_STA_ACTO_NM,CKG_MTRL_ACTO_NM,CKG_KND_ACTO_NM,CKG_IPDC,CKG_MTRL_CN,CKG_INBUN_NM,CKG_DODF_NM,CKG_TIME_NM,FIRST_REG_DT
6957515, 이탈리안 마카롱 '아마레티',아마레티,minja777711,빈티지홀릭,3194,0,139,굽기,간식,달걀/유제품,디저트, 밀가루가 없어도 부드럽고 촉촉한 맛 이탈리아 쿠키 '아마레티'를 구워 보았어요 일반쿠키에 비해  재료도 간단하고 만들기도 쉬워요  프랑스에 마카롱과 다쿠아즈가 있다면 이탈리아엔 '아마레티'가 있지요 마카롱과 비슷한 식감으로 가볍고 쫀득 달콤 해요 아몬드의 고소함도 좋구요 무엇보다도  밀가루가 안 들어가니 더 건강한 과자라 할수 있어요  이탈리아에서는 커피에 찍어 아마레티를 먹기도 하고 아이들은 주로 우유와 함께 간식으로 즐긴다고 합니다,[재료] 아몬드가루 200g| 달걀흰자 2개| 설탕 90g| 덧가루용 슈거파우더 60g,5인분,초급,30분이내,20210428104847 
6957518,간장 닭불고기,간장닭불고기,achim100,좋아좋아3,1237,0,6,볶음,야식,닭고기,메인반찬,야식으로 먹기에 딱 좋은 간장 닭불고기  시판 닭불고기 사용해 초 간단으로 만들어요,[재료] 닭고기 불고기 1판| 새송이버섯 1/2개| 대파 1/2대| 참기름 1t,2인분,아무나,10분이내,20210428113919 
6957525,간장 계란장조림 만드는법 아이들 밑반찬 삶은 달걀요리,간장계란장조림,32061214,햇살머금은집,6237,0,97,조림,일상,달걀/유제품,밑반찬,맛있고 든든한 계란 장조림 만들어 볼께요.,[재료] 계란 7개| 식초1t| 소금1t| 올리고당 2T| 간장1/3컵,4인분,아무나,30분이내,20210428130300 
6957526, 고추장 두릅나물무침 만드는법,고추장두릅나물무침,mossin0514,나미다락방,1330,0,15,무침,일상,채소류,밑반찬,고추장양념베이스로 두릅나물무침 만들어보세요 ,[재료] 두릅 165g| 고추장 2스푼| 식초 2스푼| 진간장 1스푼| 설탕 1스푼| 들기름 2스푼| 깨 1스푼,2인분,아무나,10분이내,20210428140745 
6957537,마늘빵 만들기  에어프라이어로 10분완성 마요네즈갈릭빵,마요네즈갈릭빵,mjj5984,꼬꼬마녀,1211,0,26,굽기,간식,기타,빵,10분만 투자하면 따뜻한 마늘빵을 만나볼수있어요 바삭바삭 왠만한 마늘빵맛집보다 더 맛있답니다,[재료] 호밀 빵 3쪽| 마요네즈 3숟가락| 설탕 2숟가락| 다진마늘 1숟가락| 파슬리가루,1인분,아무나,10분이내,20210428190627 
6957548,컬리플라워 라이스 새우볶음밥,컬리플라워라이스새우볶음밥,d1518006,자취ㅎㅈ,1527,0,27,볶음,일상,채소류,밥/죽/떡,포만감있고 다이어트에 좋은 컬리플라워 라이스로만든 새우볶음밥이다.,[재료] 컬리플라워라이스 1인분| 새우살 적당히| 스팸 1개| 식용유 적당히 [양념] 굴소스 1스푼| 후추 약간,1인분,아무나,5분이내,20210429005436 
6957554,자투리 재료로 간단하고 맛있게 소고기부추계란볶음밥 ,소고기부추계란볶음밥,92174683,요리톡톡 맛톡톡,1687,0,33,볶음,초스피드,소고기,밥/죽/떡,아들들 생일날 잡채 만들고 고기가 애매하게 조금 남았어요 빨리 먹어치워야 하는데 그걸 소진해야할 방법이 볶음밥밖에 떠오르지 않더라고요  그래서 계란넣고 계란볶음밥을 만들었어요 차돌로 볶아놓은거라 볶을때 고기가 적다 생각했는데 다 볶고보니 적은양도 아니고 적당하네요  여기에 부추도 넣고 살짝 볶았어요 부추향이 은은히 나는게 볶음밥에  맛을 한층 더 살려줘 진짜 맛있네요  남은 자투리 고기로 한끼 해결하는 초간단 소고기부추계란볶음밥 맛있게 볶아드세요^^  오늘도 건강 유의하세요~♡,[재료] 차돌박이 조금| 밥 2공기| 부추 조금| 계란 2개 [양념] 간장 1T| 맛소금| 올리브오일 2T| 통깨| 참기름,2인분,아무나,5분이내,20210429083010 
6957565,탄수화물을 줄인 저탄요리 포두부김치라자냐 ,포두부김치라자냐,gdubu33,만개의레시피,2787,0,151,굽기,일상,기타,퓨전,칼로리를 생각해서 만든 포두부라자냐!  라자냐면이 없을 때  다이어트재료 포두부로 만들어보세요!   세상의모든레시피 만개의레시피 ,[재료] 포두부 60g| 애호박 1/2개| 피자치즈 1컵 [김치볶음 재료] 김치 1컵| 양파 1/4개| 다진마늘 1/2숟가락| 고춧가루 1숟가락| 간장 1/2숟가락| 설탕 1/2숟가락| 올리브유 1숟가락| 소금 약간| 후추 약간,2인분,아무나,30분이내,20210429100819 
6957574,봄나물의 제왕 오가피 무침 만들기,오가피무침,bnhrest,밝고기쁜식당,552,0,2,무침,일상,채소류,밑반찬,너무 몸에 좋지만 몰라서 못해먹는 봄나물 최고의 맛과 효능,[재료] 오가피순 150g| 국간장 1T,2인분,아무나,10분이내,20210429134043 
6957576,나물장아찌 만드는법 방풍나물 두릅나물 같이 넣어 장아찌 만들기,나물장아찌,mossin0514,나미다락방,3743,0,12,절임,일상,채소류,밑반찬,기본베이스에서 매실청을 넣어보았어요 간단하지만 매실청 하나로 달라지는 나물장아찌 만들어보아요,[재료] 방풍나물 또는 두릅나물 1봉지| 소금 1스푼| 물 적당히 [양념재료 종이컵기준입니다. ] 진간장 1컵| 물 3컵| 두배 식초 1컵| 설탕 1컵| 매실청 1컵,3인분,아무나,,20210429143348 
