상호명,주소,대표메뉴,한줄코멘트,가격대,영업시간,휴무일,몰리는시간
노마드오븐,대전 중구 중교로 91-15 1층 101호,,,,,,
비비스 미트파이 오븐,대전 동구 계족로463번길 43 1층,,,,,,
다르코봉봉,대전 서구 원도안로 13-24 1층,,,,,,
당당베이커리,,,,,,,
꾸꾸,대전 서구 원도안로25번길 88 1층 108호,,,,,,
휘어(Hwier),,,,,,,
오프위고,대전 중구 대전천서로 461 2층,,,,,,
리피피,대전 유성구 신성남로95번길 21 1층 101호 리피피,,,,,,
조아유즈,대전 서구 용소로43번길 33 101호,,,,,,
두담브레드,대전 서구 둔산중로72번길 32 1층 102호,,,,,,
카페22도,대전 동구 동광장로 19-1 1층,,,,,,
엔티비알(NTBR),,,,,,,
늘구움,대전 대덕구 송촌북로20번길 13-20 1층 102호,,,,,,
